indicator,value.type,location
190_percent,modelled.estimates,world
190_percent,modelled.estimates,region
320_percent,modelled.estimates,world
320_percent,modelled.estimates,region
65_years,sum,world
65_years,sum,region
adolescent_obesity,modelled.estimates,world
adolescent_obesity,weighted.mean,region
adolescent_overweight,modelled.estimates,world
adolescent_overweight,weighted.mean,region
adolescent_underweight,modelled.estimates,world
adolescent_underweight,weighted.mean,region
adult_anemia,modelled.estimates,world
adult_anemia,weighted.mean,region
adult_blood_pressure,modelled.estimates,world
adult_blood_pressure,weighted.mean,region
adult_diabetes,modelled.estimates,world
adult_diabetes,weighted.mean,region
adult_fem_diabetes_track,sum,world
adult_fem_diabetes_track,sum,region
adult_fem_obesity_track,sum,world
adult_fem_obesity_track,sum,region
adult_mal_diabetes_track,sum,world
adult_mal_diabetes_track,sum,region
adult_mal_obesity_track,sum,world
adult_mal_obesity_track,sum,region
adult_obesity,modelled.estimates,world
adult_obesity,modelled.estimates,region
adult_overweight,modelled.estimates,world
adult_overweight,modelled.estimates,region
adult_sodium,modelled.estimates,world
adult_sodium,modelled.estimates,region
agriculture_expenditure,sum,world
agriculture_expenditure,weighted.mean,region
anaemia_plan,sum,world
anaemia_plan,sum,region
basic_sanitation,modelled.estimates,world
basic_sanitation,weighted.mean,region
basic_water,modelled.estimates,world
basic_water,weighted.mean,region
Calcium,modelled.estimates,world
Calcium,weighted.mean,region
child_overweight_plan,sum,world
child_overweight_plan,sum,region
coexistence,modelled.estimates,world
coexistence,modelled.estimates,region
community_health_workers,weighted.mean,world
community_health_workers,weighted.mean,region
continued_breastfeeding_1yr,weighted.mean,world
continued_breastfeeding_1yr,weighted.mean,region
continued_breastfeeding_2yr,weighted.mean,world
continued_breastfeeding_2yr,weighted.mean,region
diarrhea_zinc,sum,world
diarrhea_zinc,sum,region
early_childbearing_prev,weighted.mean,world
early_childbearing_prev,weighted.mean,region
early_initiation,weighted.mean,world
early_initiation,weighted.mean,region
EBF_plan,sum,world
EBF_plan,sum,region
ebf_track,sum,world
ebf_track,sum,region
education_spending,sum,world
education_spending,weighted.mean,region
exclusive_breastfeeding,weighted.mean,world
exclusive_breastfeeding,weighted.mean,region
fbdg,sum,world
fbdg,sum,region
female_secondary_enroll_net,modelled.estimates,world
female_secondary_enroll_net,weighted.mean,region
Fruit,modelled.estimates,world
Fruit,weighted.mean,region
fruit_veg_availability,modelled.estimates,world
fruit_veg_availability,modelled.estimates,region
GDP_capita_PPP,modelled.estimates,world
GDP_capita_PPP,weighted.mean,region
gender_inequality_rank,weighted.mean,world
gender_inequality_rank,weighted.mean,region
gender_inequality_score,weighted.mean,world
gender_inequality_score,weighted.mean,region
gini,weighted.mean,world
gini,weighted.mean,region
gini_rank,weighted.mean,world
gini_rank,weighted.mean,region
health_spending,sum,world
health_spending,weighted.mean,region
iodised_salt,sum,world
iodised_salt,sum,region
iron_and_folic,sum,world
iron_and_folic,sum,region
iron_supp,sum,world
iron_supp,sum,region
LBW_plan,sum,world
LBW_plan,sum,region
Legumes,modelled.estimates,world
Legumes,weighted.mean,region
limited_sanitation,modelled.estimates,world
limited_sanitation,weighted.mean,region
limited_water,modelled.estimates,world
limited_water,weighted.mean,region
Milk,modelled.estimates,world
Milk,weighted.mean,region
minimum_accept_diet,weighted.mean,world
minimum_accept_diet,weighted.mean,region
minimum_diet_diversity,weighted.mean,world
minimum_diet_diversity,weighted.mean,region
minimum_meal,weighted.mean,world
minimum_meal,weighted.mean,region
multi_sec,sum,world
multi_sec,sum,region
nurses_and_midwives,weighted.mean,world
nurses_and_midwives,weighted.mean,region
Nuts and seeds,modelled.estimates,world
Nuts and seeds,weighted.mean,region
ODA_received,sum,world
ODA_received,sum,region
ODA_specific,sum,world
ODA_specific,sum,region
Omega 3,modelled.estimates,world
Omega 3,weighted.mean,region
open_defecation,modelled.estimates,world
open_defecation,weighted.mean,region
overweight_adults_adoles_plan,sum,world
overweight_adults_adoles_plan,sum,region
overweight_percent,modelled.estimates,world
overweight_percent,modelled.estimates,region
physicians,weighted.mean,world
physicians,weighted.mean,region
Polyunsaturated fat,modelled.estimates,world
Polyunsaturated fat,weighted.mean,region
population,modelled.estimates,world
population,sum,region
Processed meat,modelled.estimates,world
Processed meat,weighted.mean,region
Red meat,modelled.estimates,world
Red meat,weighted.mean,region
rural_percent,weighted.mean,world
rural_percent,weighted.mean,region
safely_managed_sanitation,modelled.estimates,world
safely_managed_sanitation,weighted.mean,region
safely_managed_water,modelled.estimates,world
safely_managed_water,weighted.mean,region
Salt,modelled.estimates,world
Salt,weighted.mean,region
salt_leg,sum,world
salt_leg,sum,region
Saturated fat,modelled.estimates,world
Saturated fat,weighted.mean,region
social_protection_spending,sum,world
social_protection_spending,weighted.mean,region
sodium_plan,sum,world
sodium_plan,sum,region
solid_foods,weighted.mean,world
solid_foods,weighted.mean,region
stunting_percent,modelled.estimates,world
stunting_percent,modelled.estimates,region
stunting_plan,sum,world
stunting_plan,sum,region
sugar_tax,sum,world
sugar_tax,sum,region
Sugar-sweetened beverages,sum,world
Sugar-sweetened beverages,sum,region
surface_water,modelled.estimates,world
surface_water,weighted.mean,region
total_calories_non_staple,modelled.estimates,world
total_calories_non_staple,modelled.estimates,region
Trans fat,modelled.estimates,world
Trans fat,weighted.mean,region
u5_pop,sum,world
u5_pop,sum,region
u5mr,modelled.estimates,world
u5mr,modelled.estimates,region
under_5_overweight_track,sum,world
under_5_overweight_track,sum,region
under_5_stunting_track,sum,world
under_5_stunting_track,sum,region
under_5_wasting_track,sum,world
under_5_wasting_track,sum,region
undernourishment_prev,modelled.estimates,world
undernourishment_prev,modelled.estimates,region
unimproved_sanitation,modelled.estimates,world
unimproved_sanitation,weighted.mean,region
unimproved_water,modelled.estimates,world
unimproved_water,weighted.mean,region
Vegetables,modelled.estimates,world
Vegetables,weighted.mean,region
vit_a,sum,world
vit_a,sum,region
wasting_percent,modelled.estimates,world
wasting_percent,modelled.estimates,region
wasting_plan,sum,world
wasting_plan,sum,region
Whole grain,modelled.estimates,world
Whole grain,weighted.mean,region
wra_anaemia_track,sum,world
wra_anaemia_track,sum,region
